id;domicilio
1;11 DE SEPTIEMBRE 1240  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
2;14 DE JULIO 571 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
3;25 DE MAYO 123 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
4;4 DE ABRIL 1471 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
5;4 DE ABRIL 618 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
6;9 DE JULIO 49 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
7;CANADA 1048 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
8;ALSINA 1342 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
9;AMEGHINO 412 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
10;RODRIGUEZ 145 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
11;9 DE JULIO 388 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
12;AV. SIMÓN BOLÍVAR  529 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
13;AV. COLÓN 1036 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
14;AV. COLÓN 1075  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
15;AV. SANTAMARINA  744 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
16;AV. COLÓN 1215 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
17;AV. AV. MARCONI 1477 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
18;AV. RIVADAVIA  669  A TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
19;AV. SANTAMARINA  402 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
20;AV. SANTAMARINA  523 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
21;AV. AVELLANEDA 98 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
22;CNEL. BRANDSEN  498  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
23;CHACABUCO 115 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
24;CHACABUCO 472 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
25;CHACABUCO 739 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
26;CHACABUCO 954  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
27;EDISON 1090 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
28;AV. ESPAÑA 427 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
29;AV. ESPAÑA 799 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
30;CARLOS GARDEL 1602  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
31;AV.SANTAMARINA 451 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
32;LAS HERAS 979 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
33;MACHADO 941 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
34;MAIPU 636 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
35;MITRE  880 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
36;MONTEVIDEO 1069  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
37;MONTEVIDEO 1283 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
38;URIBURU 967 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
39;NECOCHEA 86 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
40;GRAL. PAZ   490 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
41;GRAL. PAZ   692 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
42;PELLEGRINI  1048 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
43;PINTO 862  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
44;GARIBALDI  504 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
45;AV. PERÓN 1014 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
46;GRAL. ROCA 481 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
47;RODRIGUEZ 921 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
48;SAAVEDRA  851 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
49;SAN LORENZO 1091  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
50;SAN MARTIN 1031 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
51;SAN MARTIN 875 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
52;SARMIENTO 372 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
53;SARMIENTO 516 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
54;TACUARI 480 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
55;SUIZA 2400  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
56;HIPOLITO YRIGOYEN  770 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
57;HIPOLITO YRIGOYEN  849 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
58;HIPOLITO YRIGOYEN  886 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
59;HIPOLITO YRIGOYEN  925  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
60;AV.MARCONI 1078 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
61;SARMIENTO GRAL 783 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
62;SAN LORENZO 249 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
63;MANCINI 2107 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
64;ALSINA 444  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
65;LAS CHILCAS 154 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
66;BELGRANO M.GRAL 993 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
67;FTE.INDEPENDENCIA 315 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
68;MONTIEL 934 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
69;CHACABUCO 255  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
70;AMEGHINO F. 420 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
71;P.1 DE MAYO 1174 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
72;9 DE JULIO 110 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
73;ACTIS 1753 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
74;SAN MARTIN GRAL 467 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
75;SAN MARTIN GRAL 979 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
76;ALEM L.N. 403 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
77;PINTO GRAL 69  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
78;CHACABUCO 472 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
79;TACUARI 168 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
80;11 DE SEPTIEMBRE 726 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
81;14 DE JULIO 496 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
82;SARMIENTO GRAL 304 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
83;ALEM L.N. 1177 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
84;MONTEVIDEO 609  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
85;BELGRANO M.GRAL 380  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
86;MONTEVIDEO 365  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
87;PINTO  877 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
88;BELGRANO M.GRAL 659 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
89;SAN LORENZO 138  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
90;RONDEAU  266 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
91;ESTRADA  446 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
92;SARMIENTO GRAL 1055 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
93;SARMIENTO  760 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
94;4 DE ABRIL 1365 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
95;SAN LORENZO 1345 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
96;AV.SANTAMARINA 479  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
97;9 DE JULIO 49  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
98;SAN MARTIN GRAL 365 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
99;ALEM L.N. 832 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
